	Autor	Werk	year	vis_id
26	Bruckbräu, Friedrich Wilhelm	Mittheilungen aus den geheimen Memoiren einer deutschen Sängerin	1829	BruckbräuFriedrichWilhelm_MittheilungenausdengeheimenMemoireneinerdeutschenSängerin
27	Carroll, Lewis	Alice im Wunderland	1865	CarrollLewis_AliceimWunderland
29	Christ, Lena	Die Rumplhanni	1916	ChristLena_DieRumplhanni
30	Christ, Lena	Madam Bäurin	1920	ChristLena_MadamBäurin
28	Christ, Lena	Mathias Bichler	1914	ChristLena_MathiasBichler
31	Christen, Ada	Jungfer Mutter	1892	ChristenAda_JungferMutter
32	Cleland, John	Fanny Hill oder Geschichte eines Freudenmädchens	1789	ClelandJohn_FannyHilloderGeschichteeinesFreudenmädchens
33	Conrad, Michael Georg	Was die Isar rauscht	1888	ConradMichaelGeorg_WasdieIsarrauscht
34	Conradi, Hermann	Adam Mensch	1889	ConradiHermann_AdamMensch
35	Dahn, Felix	Kampf um Rom	1876	DahnFelix_KampfumRom
36	Dauthendey, Max	Lingam	1909	DauthendeyMax_Lingam
38	Dickens, Charles	David Copperfield	1849	DickensCharles_DavidCopperfield
37	Dickens, Charles	Oliver Twist oder Der Weg eines Fürsorgezöglings	1837	DickensCharles_OliverTwistoderDerWegeinesFürsorgezöglings
39	Diderot, Denis	Jakob und sein Herr	1776	DiderotDenis_JakobundseinHerr
41	Dohm, Hedwig	Schicksale einer Seele	1899	DohmHedwig_SchicksaleeinerSeele
40	Dohm, Hedwig	Sibilla Dalmar	1896	DohmHedwig_SibillaDalmar
42	Dostoevskij, Fëdor Michajlovic	Die Dämonen	1871	DostoevskijFëdorMichajlovic_DieDämonen
44	Dostojewski, Fjodor Michailowitsch	Der Idiot	1868	DostojewskiFjodorMichailowitsch_DerIdiot
43	Dostojewski, Fjodor Michailowitsch	Verbrechen und Strafe (Schuld und Sühne)	1866	DostojewskiFjodorMichailowitsch_VerbrechenundStrafe(SchuldundSühne)
45	Ebner-Eschenbach, Marie von	Bozena	1876	Ebner-EschenbachMarievon_Bozena
47	Ebner-Eschenbach, Marie von	Das Gemeindekind	1887	Ebner-EschenbachMarievon_DasGemeindekind
46	Ebner-Eschenbach, Marie von	Lotti, die Uhrmacherin	1880	Ebner-EschenbachMarievon_LottidieUhrmacherin
48	Ebner-Eschenbach, Marie von	Unsühnbar	1890	Ebner-EschenbachMarievon_Unsühnbar
49	Ehrmann, Marianne	Amalie. Eine wahre Geschichte in Briefen	1788	EhrmannMarianne_Amalie.EinewahreGeschichteinBriefen
50	Ehrmann, Marianne	Ninas Briefe an ihren Geliebten	1788	EhrmannMarianne_NinasBriefeanihrenGeliebten
51	Eichendorff, Joseph von	Ahnung und Gegenwart	1815	EichendorffJosephvon_AhnungundGegenwart
52	Engel, Johann Jakob	Herr Lorenz Stark	1795	EngelJohannJakob_HerrLorenzStark
53	Essig, Hermann	Der Taifun	1919	EssigHermann_DerTaifun
54	Felder, Franz Michael	Reich und arm	1868	FelderFranzMichael_Reichundarm
